year,state,county,county_code,state_code,units_of_measure,Air.Quality.Index,AQI,pollutant,arithmetic_mean
1975,Oregon,Umatilla,59,41,Parts per billion,Good,8,SO2,4.922642
1976,Oregon,Benton,3,41,Parts per billion,Good,12,SO2,7.933929
1976,Oregon,Clackamas,5,41,Parts per million,Good,0,Ozone,0.034016
1976,Oregon,Clatsop,7,41,Parts per billion,Good,8,SO2,5.368
1976,Oregon,Jackson,29,41,Parts per billion,Good,8,SO2,4.9
1976,Oregon,Klamath,35,41,Parts per billion,Good,8,SO2,5.303922
1976,Oregon,Lane,39,41,Parts per million,Good,32,CO,2.762359
1976,Oregon,Lane,39,41,Parts per million,Good,32,Ozone,0.027804
1976,Oregon,Lane,39,41,Parts per billion,Good,32,SO2,4.932759
1976,Oregon,Marion,47,41,Parts per million,Good,23,CO,2.0083
1976,Oregon,Marion,47,41,Parts per million,Good,23,Ozone,0.036862
1976,Oregon,Marion,47,41,Parts per billion,Good,23,SO2,11.896429
1976,Oregon,Multnomah,51,41,Parts per million,Moderate,61,CO,3.0297799999999997
1976,Oregon,Multnomah,51,41,Parts per billion,Moderate,61,NO2,55.6514695
1976,Oregon,Multnomah,51,41,Parts per million,Moderate,61,Ozone,0.02952
1976,Oregon,Multnomah,51,41,Parts per billion,Moderate,61,SO2,8.4084868
1976,Oregon,Umatilla,59,41,Parts per billion,Good,8,SO2,4.927907
1977,Oregon,Benton,3,41,Parts per billion,Good,9,SO2,6.058824
1977,Oregon,Clackamas,5,41,Parts per million,Good,0,Ozone,0.040282
1977,Oregon,Clatsop,7,41,Parts per billion,Good,9,SO2,5.3297295
1977,Oregon,Jackson,29,41,Parts per billion,Good,8,SO2,4.9
1977,Oregon,Klamath,35,41,Parts per billion,Good,8,SO2,4.9
1977,Oregon,Lane,39,41,Parts per million,Good,32,CO,2.829423
1977,Oregon,Lane,39,41,Parts per million,Good,32,Ozone,0.030549
1977,Oregon,Lane,39,41,Parts per billion,Good,32,SO2,4.9
1977,Oregon,Marion,47,41,Parts per million,Good,24,CO,2.094438
1977,Oregon,Marion,47,41,Parts per million,Good,24,Ozone,0.048642
1977,Oregon,Marion,47,41,Parts per billion,Good,24,SO2,5.998246
1977,Oregon,Multnomah,51,41,Parts per million,Moderate,61,CO,3.305025
1977,Oregon,Multnomah,51,41,Parts per billion,Moderate,61,NO2,60.16066
1977,Oregon,Multnomah,51,41,Parts per million,Moderate,61,Ozone,0.018652
1977,Oregon,Multnomah,51,41,Parts per billion,Moderate,61,SO2,11.2002138
1977,Oregon,Umatilla,59,41,Parts per billion,Good,8,SO2,4.9
1978,Oregon,Benton,3,41,Parts per billion,Good,8,SO2,4.961538
1978,Oregon,Clackamas,5,41,Parts per million,Good,0,Ozone,0.048149
1978,Oregon,Clatsop,7,41,Parts per billion,Good,8,SO2,5.475
1978,Oregon,Jackson,29,41,Parts per billion,Good,8,SO2,4.9
1978,Oregon,Klamath,35,41,Parts per billion,Good,8,SO2,4.9
1978,Oregon,Lane,39,41,Parts per million,Good,28,CO,2.382428
1978,Oregon,Lane,39,41,Parts per million,Good,28,Ozone,0.034777
1978,Oregon,Lane,39,41,Parts per billion,Good,28,SO2,4.9
1978,Oregon,Marion,47,41,Parts per million,Good,25,CO,2.0580749999999997
1978,Oregon,Marion,47,41,Parts per million,Good,25,Ozone,0.041202
1978,Oregon,Marion,47,41,Parts per billion,Good,25,SO2,5.461538
1978,Oregon,Multnomah,51,41,Parts per million,Moderate,54,CO,3.194233333333333
1978,Oregon,Multnomah,51,41,Parts per billion,Moderate,54,NO2,44.566415
1978,Oregon,Multnomah,51,41,Parts per million,Moderate,54,Ozone,0.022936
1978,Oregon,Multnomah,51,41,Parts per billion,Moderate,54,SO2,5.77761025
1978,Oregon,Umatilla,59,41,Parts per billion,Good,8,SO2,4.9
1971,Utah,Salt Lake,35,49,Parts per million,Moderate,59,CO,2.997294
1971,Utah,Salt Lake,35,49,Parts per billion,Moderate,59,SO2,15.121568857142858
1971,Utah,Utah,49,49,Parts per million,Good,38,CO,3.291892
1971,Utah,Utah,49,49,Parts per billion,Good,38,SO2,2.315082
1971,Utah,Weber,57,49,Parts per million,Good,47,CO,4.149083
1971,Utah,Weber,57,49,Parts per billion,Good,47,SO2,4.0270575
1972,Utah,Salt Lake,35,49,Parts per million,Moderate,77,CO,2.359163
1972,Utah,Salt Lake,35,49,Parts per billion,Moderate,77,NO2,77.5
1972,Utah,Salt Lake,35,49,Parts per billion,Moderate,77,SO2,14.896951571428572
